id,nombre,unidad,categoria,tipo,stock_actual
g58,DILATADORES URETRALES,un,D,descartables,1
g59,PAPEL POUCH DE 05 MM,un,P,descartables,9
c1994,PAPEL POUCH DE 15 MM,un,P,descartables,10
c1995,PAPEL POUCH DE 25 MM,un,P,descartables,13
c1996,PAPEL POUCH DE 30 MM,un,P,descartables,8
g60,PAPEL POUCH DE 40 MM,un,P,descartables,15
g61,AMBU NEONATAL,un,A,descartables,9
g62,AMBU PEDIATRICO,un,A,descartables,4
g63,AMBU ADULTO,un,A,descartables,6
g64,MASCARA PARA VNI PEQUEÑAS,un,M,descartables,10
g65,NEBULIZADORES DE GOTA PEDIATRICO,un,N,descartables,2
g66,NEBULIZADORES DE GOTA ADULTO,un,N,descartables,50
g67,AEROCAMARAS NEONATAL,un,A,descartables,2
g68,AEROCAMARAS PEDIATRICA,un,A,descartables,9
g69,AEROCAMARAS ADULTO,un,A,descartables,2
g70,ESTETOSCOPIO PEDIATRICO,un,E,descartables,17
g71,CANULA NASAL ALTO FLUJO PEDIATRICA,un,C,descartables,1
g72,ESPIROMETRO,un,E,descartables,2
g73,MASCARA PARA AMBU N°0,un,M,descartables,9
g74,MASCARA PARA AMBU N°2,un,M,descartables,6
g75,MASCARA PARA AMBU N°4,un,M,descartables,6
g76,MASCARA PARA AMBU N°5,un,M,descartables,9
g77,MASCARA PARA AMBU N°6,un,M,descartables,2
g78,MANGO TENSIOMETRO 38CM-50CM,un,M,descartables,1
g79,MANGO TENSIOMETRO 35CM-45CM,un,M,descartables,1
g80,MANGO TENSIOMETRO 13CM-21CM,un,M,descartables,7
g81,MANGO TENSIOMETRO 7CM-13CM,un,M,descartables,5
g82,MANGO TENSIOMETRO 8CM-4CM,un,M,descartables,7
g83,"MANGO TENSIOMETRO 5CM-3,5CM",un,M,descartables,9
g84,DESPRESURIZADOR,un,D,descartables,1
g85,NEBULIZADORES PORTATILES,un,N,descartables,2
g86,FERULAS,un,F,descartables,2
g87,MANOMETROS DE AIRE,un,M,descartables,2
g88,MANOMETROS DE OXIGENO,un,M,descartables,1
g89,FLUMITER DE OXIGENO,un,F,descartables,3
g90,FRASCO DE ASPIRACION,un,F,descartables,15
c278,AAS 100 MG ASPIRINETA COMP,comp,A,medicamentos,184
c990,ACEMUK COM EFERVESCENTE (ACETILCISTEINA),un,A,medicamentos,168
c665,"ACICLOVIR AMP 500 MG F, A,",amp,A,medicamentos,0
c1972,ACICLOVIR COMP 400 MG,comp,A,medicamentos,0
c1865,ACICLOVIR COMP 800 MG,comp,A,medicamentos,70
c1213,ACIDO TRANEXAMICO 1000 MG X 10 ML,un,A,medicamentos,42
c283,ADENOCINA AMP,amp,A,medicamentos,35
c284,ADRENALINA AMP,amp,A,medicamentos,113
c10567,AET AL 2% AMP (POLIDOCANOL),amp,A,medicamentos,0
c1150,ALBICAR SOL BEBIBLE (L-CARNITINA),un,A,medicamentos,0
c1187,ALBUMINA HUMANA 20% UNC,un,A,medicamentos,12
c987,ALDOMET 500 MG COMP (METILDOPA),comp,A,medicamentos,60
c2021,ALIMENTACION DIBEN X 200 ML KABI,un,A,medicamentos,26
c648,ALIMENTACION DIBEN X 500 ML EB,un,A,medicamentos,20
c639,ALIMENTACION FREBINI ENERGY DRINK,un,A,medicamentos,0
c638,ALIMENTACION FREBRINI ORIGINAL SACHET,un,A,medicamentos,5
c1379,ALIMENTACION FRESUBIN 2 KCAL DRINK (vainilla),un,A,medicamentos,24
c653,ALIMENTACION FRESUBIN ENERGY,un,A,medicamentos,3
c1122,ALIMENTACION FRESUBIN HP ENERGY,un,A,medicamentos,16
c637,ALIMENTACION FRESUBIN ORIGINAL,un,A,medicamentos,0
c1971,ALIMENTACION FRESUBIN ORIGINAL (1 LT),un,A,medicamentos,14
c1953,ALIMENTACION FRESUBIN ORIGINAL FIBRA (1 LT),un,A,medicamentos,13
g1,ALIMENTACION INTENSIVE 500 ML,un,A,medicamentos,10
c1970,ALIMENTACION JEVITY PLUS,un,A,medicamentos,2
c422,ALIMENTACION PARENTERAL DE 2300 CALORIAS,un,A,medicamentos,0
c419,ALIMENTACION SMOFKAVIBEN CENTRAL X 1970,un,A,medicamentos,8
c1815,ALIMENTACION SMOFKAVIBEN EXTRANITROGEN 2025 ML.,un,A,medicamentos,0
c1399,ALIMENTACION SUPPORTAN,un,A,medicamentos,82
c1861,ALIMENTACION SUPPORTAN DRINK,un,A,medicamentos,0
c1973,ALOPURINOL 300 MG X 10 COMP,comp,A,medicamentos,30
c147,AMBISOME 50 MG FA,un,A,medicamentos,0
c916,AMIKACINA DE 100 MG INY,un,A,medicamentos,49
cA917,AMIKACINA DE 500 MG INY,un,A,medicamentos,143
c293,AMINOFILINA AMP (240 MG X 10 ML),amp,A,medicamentos,74
c294,AMIODARONA AMP (150 MG X 3 ML) (ATLANSIL),amp,A,medicamentos,0
c989,AMOXI+CLAVULANICO COMP 1 GR,comp,A,medicamentos,101
